SalesMonth,TotalRevenue,Rolling3MonthAvg
2016-09,252.23999404907227,252.23999404907227
2016-10,59090.47999930382,29671.359996676445
2016-12,19.6200008392334,19787.44666473071
2017-01,138488.04006415606,65866.0466880997
2017-02,291908.00950714946,143471.88985738158
2017-03,449863.5995282233,293419.88303317624
2017-04,417788.02949872613,386519.8795113663
2017-05,592918.8201363329,486856.81638776074
2017-06,511276.38032871485,507327.74332125793
2017-07,592382.9194870591,565526.0399840357
2017-08,674396.319929732,592685.2065818353
2017-09,727762.4504067749,664847.2299411887
2017-10,779677.8797355182,727278.8833573418
2017-11,1194882.7997162547,900774.3766195159
2017-12,878401.4798712283,950987.3864410004
2018-01,1115004.179163769,1062762.8195837506
2018-02,992463.3401646316,995289.6663998762
2018-03,1159652.1196559817,1089039.8796614606
2018-04,1160785.480685437,1104300.3135020167
2018-05,1153982.1510876399,1158139.9171430196
2018-06,1023880.50073741,1112882.710836829
2018-07,1066540.7488443647,1081467.8002231382
2018-08,1022425.321382761,1037615.5236548452
2018-09,4439.540130615234,697801.870119247
2018-10,589.6699981689453,342484.84383718175
