product_category,customer_state,total_sales_revenue,quantity_sold
"bed table bath",SP,478284.52,5235
"HEALTH BEAUTY",SP,462305.22,4204
"Watches present",SP,435009.92,2281
"sport leisure",SP,386357.01,3667
"computer accessories",SP,350747.88,3170
"Furniture Decoration",SP,286708.02,3531
housewares,SP,275378.63,3265
automotive,SP,214277.27,1747
"Cool Stuff",SP,213186.89,1364
toys,SP,185561.83,1712
"Watches present",RJ,185379.65,874
perfumery,SP,166630.55,1477
"HEALTH BEAUTY",MG,157558.3,1086
babies,SP,156716.76,1276
"Garden tools",SP,153180.74,1559
"bed table bath",RJ,148035.23,1644
"HEALTH BEAUTY",RJ,145298.62,1064
"bed table bath",MG,129643.98,1331
"sport leisure",RJ,125148.04,1041
"Watches present",MG,123759.23,637
"computer accessories",RJ,120289.45,1002
"sport leisure",MG,112719.19,966
"computer accessories",MG,111069.74,1000
"Furniture office",SP,108018.87,662
telephony,SP,104088.28,1646
"Furniture Decoration",RJ,98427.86,1090
"stationary store",SP,90598.73,1064
"pet Shop",SP,89396.15,898
"Cool Stuff",RJ,83909.95,523
"Furniture Decoration",MG,78999.74,949
housewares,MG,78073.72,835
housewares,RJ,77675.57,877
toys,RJ,74187.79,585
"Garden tools",RJ,73505.37,656
automotive,MG,72851.08,513
"Cool Stuff",MG,72778.48,459
electrostile,SP,72283.81,307
"musical instruments",SP,69582.41,269
NULL,SP,67194.6,655
automotive,RJ,65838.1,442
"Games consoles",SP,64100.25,496
PCs,SP,61993.27,59
"Construction Tools Construction",SP,60894.73,428
"Garden tools",MG,60649.22,608
"bed table bath",RS,60270.74,614
"Watches present",PR,59967.04,307
toys,MG,58888.2,494
"sport leisure",PR,58630.2,486
"Fashion Bags and Accessories",SP,57242.3,861
"Bags Accessories",SP,57144.97,455
"HEALTH BEAUTY",PR,54949.36,425
"Furniture Decoration",RS,54813.58,561
perfumery,RJ,54167.88,451
"sport leisure",RS,53788.32,475
electronics,SP,53164.94,1005
"computer accessories",RS,52757.73,485
"HEALTH BEAUTY",BA,51367.91,350
"HEALTH BEAUTY",RS,51327.72,436
"Furniture Decoration",PR,49484.89,520
"Watches present",BA,48885.59,233
perfumery,MG,48823.98,408
"Watches present",RS,48152.53,233
babies,MG,47889.38,372
"Furniture office",RJ,46912.19,306
"Cool Stuff",RS,46676.34,262
"bed table bath",PR,45598.47,468
"computer accessories",PR,44127.09,389
"sport leisure",SC,44116.9,363
babies,RJ,42318.52,359
"HEALTH BEAUTY",PE,41604.78,240
"HEALTH BEAUTY",SC,39760.16,309
housewares,RS,38994.63,434
"sport leisure",BA,38644.61,293
telephony,RJ,38434.07,438
"computer accessories",SC,37757.13,320
"Cool Stuff",PR,37539.12,215
"Garden tools",RS,36678.7,290
telephony,MG,35091.61,484
"Casa Construcao",SP,34286.58,268
"home appliances",SP,33872.23,347
"computer accessories",BA,33589.91,259
"Watches present",SC,33419.33,185
"stationary store",RJ,33333.33,331
"Watches present",GO,33257.72,147
"ELECTRICES 2",SP,33073.76,89
"Watches present",DF,32730.37,148
"HEALTH BEAUTY",CE,32419.18,167
"Furniture Decoration",SC,32335.34,354
"pet Shop",MG,31987.34,250
housewares,PR,31221.6,337
"bed table bath",SC,31148.52,330
